batch,sequences_in_batch,accessions
10,91,EPI1061754 EPI1061755 EPI1061765 EPI1062412 EPI1062418 EPI1062427 EPI1062430 EPI1062433 EPI1062505 EPI1062514 EPI1062532 EPI1062541 EPI1062913 EPI1062916 EPI1062922 EPI1062925 EPI1062946 EPI1062955 EPI1062958 EPI1062967 EPI106432 EPI106434 EPI106436 EPI106438 EPI106444 EPI106466 EPI106468 EPI106470 EPI106474 EPI1066186 EPI1066459 EPI1067339 EPI1067475 EPI1067491 EPI1067547 EPI1067555 EPI1067690 EPI1067692 EPI1067695 EPI1067697 EPI1067701 EPI1067705 EPI1067706 EPI1067707 EPI1067708 EPI1067709 EPI1067710 EPI1067711 EPI1067712 EPI1067713 EPI1067714 EPI1067810 EPI1067811 EPI1067812 EPI1067817 EPI1067818 EPI1067819 EPI1067821 EPI1067822 EPI1067823 EPI1067825 EPI1073217 EPI1073864 EPI1073876 EPI1073878 EPI1073894 EPI1073896 EPI1074621 EPI1074626 EPI1074632 EPI1074790 EPI1074793 EPI1074799 EPI1074802 EPI1074817 EPI1074820 EPI1074875 EPI1074878 EPI1075423 EPI1075495 EPI1075497 EPI1076349 EPI1078222 EPI1079264 EPI1079320 EPI1079336 EPI1079392 EPI1079404 EPI1079412 EPI1079420 EPI1079428
11,90,EPI1079436 EPI1079444 EPI1079452 EPI1079460 EPI1079468 EPI1079782 EPI1079814 EPI1079821 EPI1079874 EPI1079896 EPI1079954 EPI1080100 EPI1080167 EPI1080328 EPI1080360 EPI1080436 EPI1080440 EPI1080445 EPI1081957 EPI1081965 EPI1082532 EPI1082538 EPI1082541 EPI1082580 EPI1082583 EPI1082781 EPI1082784 EPI1082787 EPI1082875 EPI1082878 EPI1084459 EPI1084489 EPI1084524 EPI1085522 EPI1085579 EPI1085756 EPI1085812 EPI1085828 EPI1085964 EPI1085996 EPI1086065 EPI1086081 EPI1086089 EPI1086145 EPI1086153 EPI1086161 EPI1086169 EPI1086175 EPI1086191 EPI1086402 EPI1086404 EPI1086406 EPI1086408 EPI1086412 EPI1086414 EPI1086416 EPI1086418 EPI1086420 EPI1086422 EPI1086424 EPI1086426 EPI1086428 EPI1086430 EPI1086432 EPI1086434 EPI1086436 EPI1086462 EPI1086538 EPI1086578 EPI1086594 EPI1087553 EPI1087572 EPI1087616 EPI1087624 EPI1087897 EPI1088084 EPI1088092 EPI1088100 EPI1088108 EPI1088116 EPI1088124 EPI1088132 EPI1088140 EPI1088148 EPI1088156 EPI1088164 EPI1088172 EPI1088180 EPI1090847 EPI1091094
12,90,EPI1091190 EPI1091210 EPI1091211 EPI1091212 EPI1091213 EPI1091624 EPI1091625 EPI1091626 EPI1091627 EPI1091628 EPI1093575 EPI1093639 EPI1093663 EPI1093695 EPI1094343 EPI1094351 EPI1094423 EPI1094431 EPI1094526 EPI1094550 EPI1094574 EPI1094598 EPI1094614 EPI1098395 EPI1098461 EPI1098462 EPI1098463 EPI1098464 EPI1098465 EPI1098466 EPI1098467 EPI1098468 EPI1098469 EPI1098470 EPI1099604 EPI1099754 EPI1099762 EPI1099794 EPI1099989 EPI1104208 EPI1104627 EPI1104792 EPI1104928 EPI1104936 EPI1104952 EPI1104989 EPI1104997 EPI1105013 EPI1105059 EPI1105075 EPI1105091 EPI1105153 EPI1105169 EPI1106085 EPI1106592 EPI1106600 EPI1106720 EPI1106810 EPI1106818 EPI1106877 EPI1106885 EPI1107060 EPI1107083 EPI1107091 EPI1107099 EPI1107147 EPI1107155 EPI1107171 EPI1107179 EPI1107187 EPI1107195 EPI1107235 EPI1107243 EPI1107267 EPI1107275 EPI1107695 EPI1107703 EPI1107711 EPI1107775 EPI1107893 EPI1107909 EPI1108090 EPI1108092 EPI1108094 EPI1108096 EPI1108098 EPI1108100 EPI1112236 EPI1112244 EPI1112268
13,90,EPI1112276 EPI1112284 EPI1112292 EPI1112308 EPI1112348 EPI1112396 EPI1112444 EPI1112452 EPI1112460 EPI1112484 EPI1112500 EPI1112524 EPI1112747 EPI1112769 EPI1112782 EPI1112784 EPI1112794 EPI1112891 EPI1113467 EPI1117621 EPI1118427 EPI1118559 EPI1118566 EPI1118569 EPI1118572 EPI1122603 EPI1122604 EPI1122605 EPI1122606 EPI1122607 EPI1122608 EPI1122610 EPI1122717 EPI1122761 EPI1123975 EPI1125044 EPI1125200 EPI1125238 EPI1125241 EPI1125247 EPI1125253 EPI1125371 EPI1125400 EPI1126184 EPI1126190 EPI1126193 EPI1126242 EPI1126245 EPI1126248 EPI1126252 EPI1126255 EPI1126258 EPI1126261 EPI1126264 EPI1126267 EPI1126270 EPI1126273 EPI1126276 EPI1126279 EPI1126282 EPI1127572 EPI1127574 EPI1127576 EPI1128308 EPI1128359 EPI1129923 EPI1129932 EPI1129935 EPI1129938 EPI1129944 EPI1129947 EPI1130107 EPI1130115 EPI1130123 EPI1130131 EPI1130139 EPI1130155 EPI1130163 EPI1130171 EPI1130179 EPI1130187 EPI1130195 EPI1130203 EPI1130211 EPI1131378 EPI1131649 EPI1131654 EPI1132126 EPI1132177 EPI1132192
14,90,EPI1136200 EPI1136203 EPI1136257 EPI1136260 EPI1136272 EPI1136275 EPI1136284 EPI1136290 EPI1136305 EPI1136308 EPI1136314 EPI1136317 EPI1136329 EPI1136332 EPI1136420 EPI1136444 EPI1136452 EPI1139019 EPI1139275 EPI1139912 EPI1139924 EPI1139942 EPI1139948 EPI1140019 EPI1140022 EPI1140025 EPI1140028 EPI1140031 EPI1140055 EPI1140061 EPI1140064 EPI1140067 EPI1140070 EPI1140073 EPI1140325 EPI1140394 EPI1140409 EPI1140412 EPI1140418 EPI1140421 EPI1140447 EPI1140453 EPI1140477 EPI1140480 EPI1140483 EPI1140486 EPI1140492 EPI1140540 EPI1140622 EPI1140630 EPI1140830 EPI1140832 EPI1140862 EPI1140864 EPI1141891 EPI1141899 EPI1141915 EPI1141922 EPI1142172 EPI1142212 EPI1142228 EPI1142252 EPI1142258 EPI1142266 EPI1142274 EPI1142282 EPI1142290 EPI1142298 EPI1142306 EPI1142314 EPI1142322 EPI1142330 EPI1142338 EPI1142346 EPI1142414 EPI1142422 EPI1142430 EPI1142438 EPI1142446 EPI1142454 EPI1142462 EPI1142470 EPI1142478 EPI1142486 EPI1142510 EPI1142518 EPI1142526 EPI1142534 EPI1142542 EPI1142550
15,91,EPI1142558 EPI1142566 EPI1142574 EPI1143014 EPI1143164 EPI1144549 EPI1144557 EPI1145234 EPI1145236 EPI1145238 EPI1145240 EPI1145242 EPI1145244 EPI1145246 EPI1145252 EPI1145254 EPI1145256 EPI1145258 EPI1145260 EPI1145262 EPI1145264 EPI1145266 EPI1145268 EPI1145270 EPI1145272 EPI1145274 EPI1145503 EPI1145511 EPI1145519 EPI1145527 EPI1145535 EPI1145543 EPI1145551 EPI1145559 EPI1145567 EPI1145575 EPI1145583 EPI1145591 EPI1145599 EPI1145607 EPI1145612 EPI1145620 EPI1145628 EPI1145636 EPI1145943 EPI1145959 EPI1145967 EPI1145975 EPI1145983 EPI1145991 EPI1145999 EPI1146007 EPI1146015 EPI1146023 EPI1146053 EPI1146069 EPI1146077 EPI1146106 EPI1146114 EPI1146465 EPI1146608 EPI1146640 EPI1146656 EPI1146680 EPI114766 EPI1148030 EPI1148039 EPI1148042 EPI1148048 EPI1148051 EPI1148193 EPI1148196 EPI1148203 EPI1148205 EPI1148207 EPI1148209 EPI1148259 EPI1148859 EPI1148975 EPI1150114 EPI1150123 EPI115139 EPI115169 EPI1152059 EPI1152936 EPI1152942 EPI1152945 EPI1153005 EPI1153029 EPI115303 EPI115305
16,97,EPI1153050 EPI1153053 EPI1153056 EPI1153059 EPI1153062 EPI1153065 EPI1153068 EPI115307 EPI1153071 EPI1153080 EPI1153083 EPI1153086 EPI1153089 EPI1153092 EPI1153098 EPI1153140 EPI1153143 EPI115319 EPI115325 EPI115329 EPI115337 EPI115339 EPI115341 EPI115343 EPI115354 EPI115356 EPI115418 EPI1154808 EPI1154822 EPI1154826 EPI1154832 EPI1154836 EPI1154838 EPI1154866 EPI115487 EPI1154872 EPI1154886 EPI115491 EPI115493 EPI115499 EPI115503 EPI115507 EPI115509 EPI1155174 EPI1155184 EPI115519 EPI1155202 EPI1155205 EPI115521 EPI1155229 EPI115523 EPI115525 EPI115535 EPI115560 EPI115584 EPI115606 EPI115608 EPI115623 EPI115631 EPI115639 EPI115645 EPI115649 EPI115651 EPI115657 EPI115665 EPI115667 EPI115681 EPI115683 EPI115691 EPI115693 EPI115697 EPI115699 EPI115701 EPI115703 EPI115705 EPI115709 EPI115711 EPI115713 EPI115715 EPI115717 EPI115719 EPI115727 EPI115739 EPI115767 EPI115775 EPI115781 EPI115787 EPI115795 EPI115797 EPI115823 EPI115835 EPI115851 EPI115869 EPI115913 EPI115933 EPI115936 EPI115952
17,93,EPI115954 EPI115964 EPI115970 EPI115974 EPI115989 EPI115993 EPI116020 EPI116022 EPI116028 EPI116058 EPI116064 EPI116066 EPI116072 EPI116078 EPI116082 EPI116102 EPI116104 EPI116106 EPI116108 EPI116110 EPI116112 EPI116116 EPI116118 EPI1161647 EPI1161655 EPI1161663 EPI1161671 EPI1161679 EPI1161687 EPI1161735 EPI1163272 EPI1163278 EPI1163286 EPI1163294 EPI1163302 EPI1163310 EPI1163316 EPI1163351 EPI1163359 EPI1163367 EPI1163375 EPI1163383 EPI1163391 EPI1163464 EPI1163921 EPI1163968 EPI1165633 EPI1165642 EPI1165648 EPI1165657 EPI1165667 EPI1165676 EPI1165687 EPI1165697 EPI1165778 EPI1165786 EPI1165795 EPI1165817 EPI1165828 EPI1165849 EPI1165859 EPI1165869 EPI1165889 EPI1165898 EPI1165909 EPI1165919 EPI1165929 EPI1165938 EPI1165946 EPI1165954 EPI1165978 EPI1165993 EPI1166001 EPI1166009 EPI1166056 EPI1166096 EPI1166143 EPI1166151 EPI1166159 EPI1166167 EPI1166175 EPI1166271 EPI1166279 EPI1166412 EPI1166428 EPI1166513 EPI1166807 EPI1166815 EPI116763 EPI116765 EPI116815 EPI116827 EPI116831
18,95,EPI116833 EPI116835 EPI116837 EPI116839 EPI116841 EPI116845 EPI1168452 EPI1168458 EPI1168467 EPI1168470 EPI1168473 EPI1168476 EPI116849 EPI116851 EPI116853 EPI116855 EPI116857 EPI116859 EPI116861 EPI116867 EPI116869 EPI116873 EPI116881 EPI116885 EPI116893 EPI116899 EPI116901 EPI1169044 EPI1169046 EPI1169049 EPI1169055 EPI1169795 EPI1169799 EPI1169801 EPI1169807 EPI1169815 EPI1169817 EPI1169819 EPI1169821 EPI1169823 EPI1169825 EPI1169827 EPI116983 EPI116985 EPI116987 EPI116989 EPI116993 EPI117001 EPI117003 EPI117009 EPI117015 EPI117017 EPI117025 EPI117027 EPI117029 EPI117031 EPI117033 EPI117035 EPI1170358 EPI117039 EPI117053 EPI117059 EPI117065 EPI117069 EPI117071 EPI117073 EPI117075 EPI117087 EPI117091 EPI1171367 EPI1171375 EPI1171383 EPI1171391 EPI1171399 EPI1171407 EPI1171415 EPI1171421 EPI1171428 EPI1171435 EPI1171443 EPI1171451 EPI1171459 EPI1171467 EPI1171475 EPI1171483 EPI1171491 EPI1171499 EPI1171507 EPI1171515 EPI1171522 EPI117159 EPI117161 EPI117163 EPI117169 EPI117171
19,95,EPI117173 EPI117177 EPI117179 EPI117181 EPI117183 EPI117185 EPI117187 EPI117203 EPI117205 EPI117209 EPI117211 EPI117213 EPI117215 EPI117217 EPI117237 EPI117239 EPI117245 EPI1172461 EPI117247 EPI117251 EPI117253 EPI117255 EPI117257 EPI117259 EPI1172608 EPI117261 EPI1172696 EPI1172766 EPI1172856 EPI1172907 EPI117297 EPI117299 EPI117301 EPI117303 EPI117305 EPI117313 EPI117319 EPI117321 EPI117327 EPI117331 EPI117335 EPI117337 EPI117339 EPI117341 EPI117352 EPI117354 EPI117390 EPI117392 EPI117394 EPI117396 EPI1174008 EPI1174051 EPI1174059 EPI1174067 EPI117443 EPI117445 EPI117447 EPI117449 EPI1174495 EPI1174503 EPI1174511 EPI1174519 EPI1174527 EPI117453 EPI1174535 EPI1174543 EPI117455 EPI1174551 EPI1174559 EPI1174567 EPI117457 EPI1174575 EPI1174583 EPI1174591 EPI117461 EPI1174615 EPI1174623 EPI117463 EPI1174631 EPI1174639 EPI1174647 EPI117465 EPI1174655 EPI1174663 EPI1174671 EPI1177313 EPI1177317 EPI1177319 EPI1177391 EPI1177393 EPI1177395 EPI1177399 EPI1177401 EPI1177417 EPI1177435
20,90,EPI1177437 EPI1179312 EPI1179313 EPI1179340 EPI1179343 EPI1179345 EPI1179349 EPI1179351 EPI1179353 EPI1179355 EPI1179357 EPI1179359 EPI1179361 EPI1179363 EPI1179417 EPI1179419 EPI1179421 EPI1179423 EPI1179425 EPI1179427 EPI1179440 EPI1179443 EPI1179446 EPI1179449 EPI1179452 EPI1179455 EPI1179458 EPI1179461 EPI1179464 EPI1179467 EPI1179470 EPI1179473 EPI1179476 EPI1179479 EPI1179482 EPI1179485 EPI1179488 EPI1179491 EPI1179494 EPI1179497 EPI1179500 EPI1179503 EPI1179506 EPI1179509 EPI1179512 EPI1179515 EPI1179518 EPI1179521 EPI1179524 EPI1179527 EPI1179530 EPI1179533 EPI1179536 EPI1179539 EPI1179542 EPI1179545 EPI1179548 EPI1179551 EPI1179554 EPI1179557 EPI1179560 EPI1179563 EPI1179572 EPI1179578 EPI1179581 EPI1179584 EPI1179733 EPI1179741 EPI1179749 EPI1179797 EPI1179805 EPI1179828 EPI1179836 EPI1179844 EPI1179852 EPI1179892 EPI1179924 EPI1180084 EPI1180092 EPI1180124 EPI1180132 EPI1180140 EPI1180148 EPI1180156 EPI1180188 EPI1180212 EPI1180220 EPI1180228 EPI1180252 EPI1180308
21,91,EPI1180332 EPI1180364 EPI1180380 EPI1180388 EPI1180468 EPI1180600 EPI1180601 EPI1180602 EPI1180603 EPI1180611 EPI1180644 EPI1180652 EPI1180660 EPI1180704 EPI1180744 EPI1180783 EPI1180791 EPI1180933 EPI1180968 EPI1180990 EPI1180997 EPI1181052 EPI1181067 EPI1181072 EPI1181106 EPI1181211 EPI1181219 EPI1181317 EPI1182929 EPI1182940 EPI1182948 EPI1182959 EPI1183047 EPI1183692 EPI1183700 EPI1183708 EPI1183780 EPI1183802 EPI1183825 EPI1184050 EPI1184051 EPI1185096 EPI1185120 EPI1185240 EPI1185288 EPI1185376 EPI1185384 EPI1185399 EPI1185406 EPI1185414 EPI1185494 EPI1185502 EPI1185510 EPI1185518 EPI1185526 EPI1185535 EPI1185543 EPI1185551 EPI1185559 EPI1185567 EPI1185575 EPI1185591 EPI1187936 EPI1187938 EPI1187940 EPI1188036 EPI1188037 EPI1188038 EPI1188039 EPI1188367 EPI1188368 EPI1188369 EPI1188371 EPI1188373 EPI1188376 EPI1188377 EPI1188378 EPI1188380 EPI1188381 EPI1188392 EPI1188394 EPI1188396 EPI1188426 EPI118881 EPI1191879 EPI1192170 EPI1192202 EPI119227 EPI119249 EPI1192501 EPI119251
