batch,sequences_in_batch,accessions
0,90,EPI1000654 EPI1000752 EPI1001376 EPI1001778 EPI1001854 EPI1001856 EPI1001858 EPI1001902 EPI1001907 EPI1001909 EPI1001918 EPI1001925 EPI1002826 EPI1002840 EPI1002842 EPI1002844 EPI1002856 EPI1003970 EPI1003971 EPI1004078 EPI1004079 EPI1004080 EPI1004794 EPI1004795 EPI1006139 EPI1006143 EPI1010183 EPI1010261 EPI1010347 EPI1010353 EPI1010357 EPI1010359 EPI1010361 EPI1010390 EPI1010396 EPI1010402 EPI1010404 EPI1010406 EPI1010408 EPI1010410 EPI1010412 EPI1010424 EPI1010426 EPI1010428 EPI1010430 EPI1010432 EPI1010434 EPI1010436 EPI1013045 EPI1013047 EPI1013049 EPI1013055 EPI1013063 EPI1013069 EPI1013071 EPI1013075 EPI1013079 EPI1013081 EPI1013083 EPI1013097 EPI1013129 EPI1013157 EPI1013430 EPI1013440 EPI1013442 EPI1013444 EPI1013446 EPI1013448 EPI1013452 EPI1013454 EPI1013456 EPI1013458 EPI1013460 EPI1014968 EPI1015003 EPI1015082 EPI1015274 EPI1015648 EPI1015651 EPI1015787 EPI1015849 EPI1015865 EPI1015867 EPI1015869 EPI1015875 EPI1016335 EPI1016358 EPI1016366 EPI1016374 EPI1016382
1,90,EPI1016405 EPI1016421 EPI1016437 EPI1016445 EPI1016453 EPI1016485 EPI1016509 EPI1016525 EPI1016565 EPI1016597 EPI1016613 EPI1016621 EPI1016629 EPI1016653 EPI1016661 EPI1016677 EPI1016693 EPI1016725 EPI1016741 EPI1016757 EPI1016765 EPI1016773 EPI1016779 EPI1016819 EPI1016827 EPI1016843 EPI1016858 EPI1016866 EPI1016882 EPI1016890 EPI1016898 EPI1016906 EPI1016922 EPI1016954 EPI1016962 EPI1016970 EPI1017017 EPI1017025 EPI1017065 EPI1017073 EPI1017081 EPI1017096 EPI1017104 EPI1017112 EPI1017128 EPI1017152 EPI1017176 EPI1017184 EPI1017200 EPI1017208 EPI1017391 EPI1018311 EPI1019975 EPI1019976 EPI1019978 EPI1019980 EPI1019982 EPI1019984 EPI1019987 EPI1019989 EPI1019991 EPI1020094 EPI1020096 EPI1020097 EPI1020098 EPI1020099 EPI1020101 EPI1020102 EPI1020103 EPI1020104 EPI1020108 EPI1021164 EPI1021166 EPI1021168 EPI1021170 EPI1021194 EPI1021204 EPI1021210 EPI1021218 EPI1021883 EPI1021886 EPI1021892 EPI1021915 EPI1021918 EPI1021921 EPI1021924 EPI1021927 EPI1021933 EPI1021936 EPI1021949
2,90,EPI1021970 EPI1021973 EPI1021998 EPI1022031 EPI1022064 EPI1022073 EPI1022076 EPI1022079 EPI1022082 EPI1022118 EPI1022121 EPI1022127 EPI1022130 EPI1022133 EPI1022136 EPI1022139 EPI1022142 EPI1022148 EPI1022157 EPI1022160 EPI1022163 EPI1022169 EPI1022172 EPI1022217 EPI1022244 EPI1022295 EPI1022298 EPI1022307 EPI1022313 EPI1022322 EPI1022325 EPI1022328 EPI1022337 EPI1022352 EPI1022367 EPI1022370 EPI1022373 EPI1022403 EPI1022406 EPI1022424 EPI1022427 EPI1022436 EPI1022442 EPI1022445 EPI1022454 EPI1022457 EPI1022475 EPI1022478 EPI1022487 EPI1022496 EPI1022499 EPI1022508 EPI1023514 EPI1023522 EPI1023530 EPI1023538 EPI1023546 EPI1023554 EPI1023714 EPI1023722 EPI1023730 EPI1023732 EPI1023740 EPI1023748 EPI1023750 EPI1023752 EPI1023760 EPI1023768 EPI1023776 EPI1023784 EPI1023792 EPI1023800 EPI1023808 EPI1023810 EPI1023812 EPI1023820 EPI1023828 EPI1023836 EPI1023844 EPI1023846 EPI1023998 EPI1024838 EPI1026726 EPI1026750 EPI1026758 EPI1026766 EPI1026830 EPI1026942 EPI1026950 EPI1026958
3,91,EPI1026974 EPI1026982 EPI1026990 EPI1026998 EPI1027006 EPI1027014 EPI1027022 EPI1027030 EPI1027038 EPI1027070 EPI1027078 EPI1027102 EPI1028216 EPI102848 EPI1028651 EPI1028837 EPI1029357 EPI1029365 EPI1029557 EPI1029573 EPI1029597 EPI1029988 EPI1029994 EPI1029997 EPI1030000 EPI1030003 EPI1030195 EPI1030198 EPI1030270 EPI1030273 EPI1030276 EPI1030342 EPI1030345 EPI1030348 EPI1030363 EPI1030392 EPI1030474 EPI1030551 EPI1030641 EPI1030666 EPI1030667 EPI1031443 EPI1031470 EPI1031485 EPI1031488 EPI1031491 EPI1031494 EPI1031500 EPI1031506 EPI1031527 EPI1031533 EPI1031575 EPI1031581 EPI1031584 EPI1031587 EPI1031590 EPI1031593 EPI1031626 EPI1031629 EPI1031650 EPI1031656 EPI1031671 EPI1033395 EPI1033402 EPI1034308 EPI1034392 EPI1034393 EPI1034394 EPI1034395 EPI1034396 EPI1034398 EPI1034399 EPI1034400 EPI1034401 EPI1034402 EPI1034403 EPI1034404 EPI1034405 EPI1034406 EPI1034407 EPI1034408 EPI1034409 EPI1034411 EPI1034412 EPI1034434 EPI1034435 EPI1034436 EPI1034437 EPI1034438 EPI1034439 EPI1034440
4,90,EPI1035183 EPI1035199 EPI1035207 EPI1035215 EPI1035223 EPI1035231 EPI1035247 EPI1035255 EPI1035263 EPI1035271 EPI1035279 EPI1035287 EPI1035303 EPI1035374 EPI1035382 EPI1035520 EPI1035533 EPI1035610 EPI1035618 EPI1035641 EPI1035649 EPI1035657 EPI1036043 EPI1036045 EPI1036047 EPI1036073 EPI1036077 EPI1036079 EPI1036085 EPI1036087 EPI1036089 EPI1036091 EPI1036093 EPI1036307 EPI1036309 EPI1036331 EPI1036377 EPI1036379 EPI1037854 EPI1037862 EPI1037870 EPI1037878 EPI1037886 EPI1037894 EPI1037902 EPI1037910 EPI1037918 EPI1037926 EPI1037942 EPI1037950 EPI1037966 EPI1037974 EPI1038650 EPI1038653 EPI1038669 EPI1038684 EPI1038692 EPI1038700 EPI1038708 EPI1038716 EPI1038724 EPI1038732 EPI1038740 EPI1038748 EPI1038756 EPI1038764 EPI1038772 EPI1038780 EPI1038788 EPI1038793 EPI1038801 EPI1038806 EPI1038811 EPI1038829 EPI1038845 EPI1038856 EPI1038872 EPI1038879 EPI1038888 EPI1038893 EPI1038904 EPI1038921 EPI1038937 EPI1038952 EPI1038968 EPI1038969 EPI1038989 EPI1039000 EPI1039003 EPI1039016
5,90,EPI1039025 EPI1039033 EPI1039049 EPI1039057 EPI1039073 EPI1039081 EPI1039104 EPI1039112 EPI1039117 EPI1039125 EPI1039133 EPI1039141 EPI1039149 EPI1039155 EPI1039163 EPI1039171 EPI1039179 EPI1039187 EPI1040259 EPI1040716 EPI1040740 EPI1040819 EPI1040820 EPI1040822 EPI1040823 EPI1040824 EPI1040825 EPI1040827 EPI1040830 EPI1040831 EPI1040832 EPI1040834 EPI1040836 EPI1040837 EPI1040840 EPI1040841 EPI1040842 EPI1040848 EPI1040856 EPI1040857 EPI1040859 EPI1042176 EPI1042530 EPI1042535 EPI1042583 EPI1042591 EPI1042599 EPI1043038 EPI1043040 EPI1043044 EPI1043050 EPI1043052 EPI1043054 EPI1043056 EPI1043060 EPI1043062 EPI1043064 EPI1043066 EPI1043070 EPI1043074 EPI1043076 EPI1043078 EPI1043080 EPI1043084 EPI1043550 EPI1043552 EPI1043572 EPI1043580 EPI1043588 EPI1043596 EPI1043604 EPI1043612 EPI1043620 EPI1043628 EPI1043644 EPI1043851 EPI1043887 EPI1043919 EPI1043931 EPI1044675 EPI1044723 EPI1044726 EPI1044750 EPI1044759 EPI1044762 EPI1044765 EPI1044768 EPI1044771 EPI1044777 EPI1044780
6,90,EPI1045163 EPI1045165 EPI1045167 EPI1045171 EPI1045173 EPI1045177 EPI1045179 EPI1045187 EPI1045189 EPI1045193 EPI1045197 EPI1045199 EPI1045201 EPI1045205 EPI1045215 EPI1045217 EPI1045219 EPI1045235 EPI1045237 EPI1045239 EPI1045241 EPI1045243 EPI1045247 EPI1045249 EPI1045251 EPI1045253 EPI1045261 EPI1045263 EPI1045265 EPI1045269 EPI1045309 EPI1045312 EPI1045315 EPI1045318 EPI1045381 EPI1045384 EPI1045393 EPI1045396 EPI1045402 EPI1045405 EPI1045408 EPI1045411 EPI1045498 EPI1045501 EPI1045504 EPI1045507 EPI1045510 EPI1045513 EPI1045573 EPI1045576 EPI1045579 EPI1045582 EPI1045585 EPI1045691 EPI1045800 EPI1045802 EPI1045804 EPI1045806 EPI1045810 EPI1045814 EPI1045818 EPI1045820 EPI1045834 EPI1045836 EPI1045838 EPI1045844 EPI1045848 EPI1045858 EPI1045864 EPI1045866 EPI1045868 EPI1045870 EPI1045876 EPI1045882 EPI1045884 EPI1045886 EPI1045889 EPI1045890 EPI1045917 EPI1046179 EPI1046601 EPI1046663 EPI1046762 EPI1046828 EPI1047574 EPI1047620 EPI1047703 EPI1047728 EPI1047803 EPI1047811
7,90,EPI1047819 EPI1047827 EPI1047836 EPI1047845 EPI1047862 EPI1047870 EPI1047887 EPI1047939 EPI1047963 EPI1047972 EPI1047980 EPI1047988 EPI1047997 EPI1048005 EPI1048013 EPI1048021 EPI1048029 EPI1048037 EPI1048045 EPI1048052 EPI1048068 EPI1048112 EPI1048120 EPI1048128 EPI1048136 EPI1048160 EPI1048184 EPI1048192 EPI1048371 EPI1048386 EPI1048402 EPI1048420 EPI1048432 EPI1048448 EPI1048461 EPI1048471 EPI1048480 EPI1048496 EPI1048505 EPI1048521 EPI1048525 EPI1048540 EPI1048567 EPI1048574 EPI1048599 EPI1048606 EPI1048623 EPI1048642 EPI1048656 EPI1048661 EPI1048672 EPI1048704 EPI1048723 EPI1048738 EPI1048754 EPI1048826 EPI1048842 EPI1048867 EPI1048989 EPI1049003 EPI1049015 EPI1049019 EPI1049030 EPI1049059 EPI1049071 EPI1049075 EPI1049105 EPI1049120 EPI1049121 EPI1049136 EPI1049153 EPI1049197 EPI1049264 EPI1049279 EPI1049284 EPI1049295 EPI1049300 EPI1049315 EPI1049325 EPI1049334 EPI1049340 EPI1049349 EPI1049367 EPI1049369 EPI1049386 EPI1049402 EPI1049415 EPI1049432 EPI1049447 EPI1049449
8,90,EPI1049463 EPI1049466 EPI1049477 EPI1049485 EPI1049493 EPI1049501 EPI1049513 EPI1049527 EPI1049544 EPI1049687 EPI1049799 EPI1049831 EPI1050803 EPI1050811 EPI1050815 EPI1050817 EPI1050829 EPI1050859 EPI1050871 EPI1050876 EPI1050877 EPI1050879 EPI1050881 EPI1050883 EPI1050885 EPI1050891 EPI1050895 EPI1050897 EPI1050899 EPI1050901 EPI1050905 EPI1050907 EPI1050911 EPI1050913 EPI1050915 EPI1050917 EPI1050921 EPI1054479 EPI1054511 EPI1054513 EPI1054517 EPI1054519 EPI1054523 EPI1054524 EPI1055130 EPI1055136 EPI1055138 EPI1055142 EPI1055152 EPI1055910 EPI1055918 EPI1055981 EPI1055989 EPI1055997 EPI1056037 EPI1056052 EPI1056060 EPI1056084 EPI1056108 EPI1056124 EPI1056148 EPI1056188 EPI1056204 EPI1056220 EPI1056291 EPI1056299 EPI1056323 EPI1056339 EPI1056419 EPI1056435 EPI1056443 EPI1056451 EPI1056920 EPI1056928 EPI1056936 EPI1056944 EPI1056952 EPI1056960 EPI1057179 EPI1057182 EPI1057197 EPI1057200 EPI1057284 EPI1057287 EPI1057293 EPI1057688 EPI1057768 EPI1057784 EPI1057792 EPI1057800
9,90,EPI1057808 EPI1057816 EPI1057824 EPI1057832 EPI1057840 EPI1057848 EPI1057856 EPI1057864 EPI1057872 EPI1057880 EPI1057888 EPI1057896 EPI1057904 EPI1057912 EPI1058053 EPI1058061 EPI1058077 EPI1058085 EPI1058093 EPI1058109 EPI1058125 EPI1058141 EPI1058149 EPI1058157 EPI1058165 EPI1058173 EPI1058213 EPI1058221 EPI1058285 EPI1058293 EPI1058309 EPI1058317 EPI1058397 EPI1058493 EPI1058523 EPI1058537 EPI1058553 EPI1058561 EPI1058569 EPI1058577 EPI1058585 EPI1058593 EPI1058643 EPI1058655 EPI1058727 EPI1058837 EPI1058845 EPI1059689 EPI1059692 EPI1059696 EPI1059725 EPI1059726 EPI1059728 EPI1059835 EPI1059843 EPI1059851 EPI1059858 EPI1059866 EPI1059874 EPI1059882 EPI1059890 EPI1059910 EPI1059918 EPI1059950 EPI1060321 EPI1060326 EPI1060328 EPI1060332 EPI1060375 EPI1060394 EPI1060397 EPI1060400 EPI1060412 EPI1060442 EPI1060462 EPI1060463 EPI1060467 EPI1060698 EPI1060823 EPI1060838 EPI1060914 EPI1060920 EPI1060928 EPI1060949 EPI1061737 EPI1061740 EPI1061741 EPI1061743 EPI1061748 EPI1061751
