error_type	model	timepoint	model_distance_to_future	naive_distance_to_future	optimal_distance_to_future
test	oracle antigenic novelty	2016-10-01	10.26	6.841	2.462
test	oracle antigenic novelty	2017-04-01	7.965	6.215	1.431
test	oracle antigenic novelty	2017-10-01	9.401	5.033	1.899
test	oracle antigenic novelty	2018-04-01	9.944	9.123	2.533
test	oracle antigenic novelty	2018-10-01	10.923	9.819	3.496
test	HI antigenic novelty	2015-04-01	4.628	5.429	1.949
test	HI antigenic novelty	2015-10-01	6.149	6.293	2.34
test	HI antigenic novelty	2016-04-01	5.496	5.816	2.142
test	HI antigenic novelty	2016-10-01	6.494	6.841	2.462
test	HI antigenic novelty	2017-04-01	6.737	6.215	1.431
test	HI antigenic novelty	2017-10-01	4.707	5.033	1.899
test	HI antigenic novelty	2018-04-01	6.253	9.123	2.533
test	HI antigenic novelty	2018-10-01	9.202	9.819	3.496
test	mutational load	2015-04-01	4.856	5.429	1.949
test	mutational load	2015-10-01	6.082	6.293	2.34
test	mutational load	2016-04-01	6.951	5.816	2.142
test	mutational load	2016-10-01	6.089	6.841	2.462
test	mutational load	2017-04-01	6.066	6.215	1.431
test	mutational load	2017-10-01	5.129	5.033	1.899
test	mutational load	2018-04-01	8.446	9.123	2.533
test	mutational load	2018-10-01	8.608	9.819	3.496
test	DMS mutational effects	2015-04-01	7.437	5.429	1.949
test	DMS mutational effects	2015-10-01	5.923	6.293	2.34
test	DMS mutational effects	2016-04-01	7.261	5.816	2.142
test	DMS mutational effects	2016-10-01	6.535	6.841	2.462
test	DMS mutational effects	2017-04-01	6.046	6.215	1.431
test	DMS mutational effects	2017-10-01	4.494	5.033	1.899
test	DMS mutational effects	2018-04-01	11.817	9.123	2.533
test	DMS mutational effects	2018-10-01	12.889	9.819	3.496
test	DMS mutational load	2015-04-01	5.421	5.429	1.949
test	DMS mutational load	2015-10-01	6.303	6.293	2.34
test	DMS mutational load	2016-04-01	5.79	5.816	2.142
test	DMS mutational load	2016-10-01	6.852	6.841	2.462
test	DMS mutational load	2017-04-01	6.227	6.215	1.431
test	DMS mutational load	2017-10-01	5.03	5.033	1.899
test	DMS mutational load	2018-04-01	9.095	9.123	2.533
test	DMS mutational load	2018-10-01	9.809	9.819	3.496
test	DMS entropy	2015-04-01	5.405	5.429	1.949
test	DMS entropy	2015-10-01	6.28	6.293	2.34
test	DMS entropy	2016-04-01	5.818	5.816	2.142
test	DMS entropy	2016-10-01	6.821	6.841	2.462
test	DMS entropy	2017-04-01	6.204	6.215	1.431
test	DMS entropy	2017-10-01	5.042	5.033	1.899
test	DMS entropy	2018-04-01	9.103	9.123	2.533
test	DMS entropy	2018-10-01	9.787	9.819	3.496
test	LBI	2015-04-01	4.778	5.429	1.949
test	LBI	2015-10-01	7.527	6.293	2.34
test	LBI	2016-04-01	5.302	5.816	2.142
test	LBI	2016-10-01	7.057	6.841	2.462
test	LBI	2017-04-01	8.314	6.215	1.431
test	LBI	2017-10-01	5.746	5.033	1.899
test	LBI	2018-04-01	11.983	9.123	2.533
test	LBI	2018-10-01	16.489	9.819	3.496
test	delta frequency	2015-04-01	4.471	5.429	1.949
test	delta frequency	2015-10-01	6.254	6.293	2.34
test	delta frequency	2016-04-01	5.783	5.816	2.142
test	delta frequency	2016-10-01	7.45	6.841	2.462
test	delta frequency	2017-04-01	6.952	6.215	1.431
test	delta frequency	2017-10-01	4.219	5.033	1.899
test	delta frequency	2018-04-01	11.097	9.123	2.533
test	delta frequency	2018-10-01	8.999	9.819	3.496
test	epitope ancestor + mutational load	2015-04-01	4.263	5.429	1.949
test	epitope ancestor + mutational load	2015-10-01	6.507	6.293	2.34
test	epitope ancestor + mutational load	2016-04-01	6.253	5.816	2.142
test	epitope ancestor + mutational load	2016-10-01	6.273	6.841	2.462
test	epitope ancestor + mutational load	2017-04-01	6.707	6.215	1.431
test	epitope ancestor + mutational load	2017-10-01	5.074	5.033	1.899
test	epitope ancestor + mutational load	2018-04-01	8.618	9.123	2.533
test	epitope ancestor + mutational load	2018-10-01	8.571	9.819	3.496
test	epitope antigenic novelty + mutational load	2015-04-01	4.332	5.429	1.949
test	epitope antigenic novelty + mutational load	2015-10-01	6.637	6.293	2.34
test	epitope antigenic novelty + mutational load	2016-04-01	5.856	5.816	2.142
test	epitope antigenic novelty + mutational load	2016-10-01	5.81	6.841	2.462
test	epitope antigenic novelty + mutational load	2017-04-01	6.715	6.215	1.431
test	epitope antigenic novelty + mutational load	2017-10-01	5.951	5.033	1.899
test	epitope antigenic novelty + mutational load	2018-04-01	7.72	9.123	2.533
test	epitope antigenic novelty + mutational load	2018-10-01	8.657	9.819	3.496
test	mutational load + LBI	2015-04-01	4.663	5.429	1.949
test	mutational load + LBI	2015-10-01	7.229	6.293	2.34
test	mutational load + LBI	2016-04-01	5.331	5.816	2.142
test	mutational load + LBI	2016-10-01	6.38	6.841	2.462
test	mutational load + LBI	2017-04-01	8.249	6.215	1.431
test	mutational load + LBI	2017-10-01	4.207	5.033	1.899
test	mutational load + LBI	2018-04-01	10.996	9.123	2.533
test	mutational load + LBI	2018-10-01	14.569	9.819	3.496
test	HI antigenic novelty + mutational load	2015-04-01	4.038	5.429	1.949
test	HI antigenic novelty + mutational load	2015-10-01	5.931	6.293	2.34
test	HI antigenic novelty + mutational load	2016-04-01	6.548	5.816	2.142
test	HI antigenic novelty + mutational load	2016-10-01	5.856	6.841	2.462
test	HI antigenic novelty + mutational load	2017-04-01	6.29	6.215	1.431
test	HI antigenic novelty + mutational load	2017-10-01	4.505	5.033	1.899
test	HI antigenic novelty + mutational load	2018-04-01	5.648	9.123	2.533
test	HI antigenic novelty + mutational load	2018-10-01	8.913	9.819	3.496
test	HI antigenic novelty + mutational load + LBI	2015-04-01	4.081	5.429	1.949
test	HI antigenic novelty + mutational load + LBI	2015-10-01	5.933	6.293	2.34
test	HI antigenic novelty + mutational load + LBI	2016-04-01	6.607	5.816	2.142
test	HI antigenic novelty + mutational load + LBI	2016-10-01	5.9	6.841	2.462
test	HI antigenic novelty + mutational load + LBI	2017-04-01	6.299	6.215	1.431
test	HI antigenic novelty + mutational load + LBI	2017-10-01	4.552	5.033	1.899
test	HI antigenic novelty + mutational load + LBI	2018-04-01	5.623	9.123	2.533
test	HI antigenic novelty + mutational load + LBI	2018-10-01	8.93	9.819	3.496
